,buyer,city
0,20000770,мегион
1,20001028,тюмень
2,20000771,мурманск
3,20002022,мегион
4,20000511,ноябрьск
5,20000999,мегион
6,8536,омск
7,20000221,ноябрьск
8,20000627,лабытнанги
9,20000974,мегион
10,20000511,ноябрьск
11,20000128,москва
12,20001394,усть-кут
13,20001293,усть-кут
14,20002019,ноябрьск
15,20002634,лабытнанги
16,20000751,оренбург
17,20000450,москва
18,20001013,мегион
19,20002024,ханты-мансийск
20,20002884,лабытнанги
21,20002022,мегион
22,20000286,омск
23,20001061,мегион
24,24446,москва
25,20001383,усть-кут
26,20001817,усть-кут
27,20001629,барабинск
28,20002285,мегион
29,20001964,нягань
30,20002020,томск
31,20001384,оренбург
32,20000222,ноябрьск
33,20003170,мегион
34,20001638,омск
35,20002788,томск
36,20001639,барабинск
37,20000771,мурманск
38,20001874,санкт-петербург
39,20003154,оренбург
40,20002021,оренбург
41,20002438,омск
42,20001618,салехард
43,20000273,омск
44,20001629,барабинск
45,20001618,салехард
46,20000221,ноябрьск
47,20002678,ноябрьск
48,20000450,москва
49,20001383,усть-кут
50,20000128,москва
51,24446,москва
52,20001293,усть-кут
53,20002884,лабытнанги
54,20000257,лабытнанги
55,20001629,барабинск
56,20000974,мегион
57,20000221,ноябрьск
58,8536,омск
59,20001476,мурманск
60,20000286,омск
61,20002285,мегион
62,20001639,барабинск
63,20002634,лабытнанги
64,20002019,ноябрьск
65,20001013,мегион
66,20000511,ноябрьск
67,20002654,дзержинский
68,20002020,томск
69,20000751,оренбург
70,20002873,лабытнанги
71,20002021,оренбург
72,20000499,санкт-петербург
73,20001203,тюмень
74,20001874,санкт-петербург
75,20001818,санкт-петербург
76,20001618,салехард
77,20002024,ханты-мансийск
78,20001817,усть-кут
79,20001964,нягань
80,20001046,нягань
81,20002786,мурманск
82,20002022,мегион
83,20000999,мегион
84,20001394,усть-кут
85,20000627,лабытнанги
86,20001384,оренбург
87,20001354,санкт-петербург
88,20000751,оренбург
89,20003053,ноябрьск
90,20000771,мурманск
91,20001383,усть-кут
92,20001629,барабинск
93,20000222,ноябрьск
94,24446,москва
95,20000221,ноябрьск
96,20002634,лабытнанги
97,20001384,оренбург
98,20001293,усть-кут
99,20000511,ноябрьск
100,20001565,ноябрьск
101,20001203,тюмень
102,20001028,тюмень
103,20002019,ноябрьск
104,20000974,мегион
105,20002025,тюмень
106,20000771,мурманск
107,20002634,лабытнанги
